Wed Mar 19 03:38:57 2014 - Update: UPDATE members SET WHERE `id` = '1';
Wed Mar 19 03:39:55 2014 - Update: UPDATE members SET Titles = "(lp0
S'knight martial'
p1
aS'awesome'
Thu Mar 27 22:34:41 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:34:41 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:34:41 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:34:41 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:34:41 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:34:43 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:34:43 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:34:45 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:34:45 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:34:45 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:34:45 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:34:45 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:34:45 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:34:45 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:34:47 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:34:47 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:34:47 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:34:47 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:34:47 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:34:47 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:34:47 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:35:22 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:35:22 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:35:22 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:35:22 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:35:22 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:35:24 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:35:24 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:35:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:35:57 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:35:57 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:35:57 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:35:57 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:46 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:37:46 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Thu Mar 27 22:37:46 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:46 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Thu Mar 27 22:37:46 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:47 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:37:47 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Thu Mar 27 22:37:47 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:47 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Thu Mar 27 22:37:47 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:48 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:37:48 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Thu Mar 27 22:37:48 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:48 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 22:37:48 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:48 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Thu Mar 27 22:37:48 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:51 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:51 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:52 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:52 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:53 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:37:53 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:37:53 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:37:53 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:53 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:54 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:54 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:55 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:55 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:37:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:37:57 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:37:57 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:37:57 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:37:57 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:01 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:40:01 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:40:01 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:40:01 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:01 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:10 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:40:10 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:40:10 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:40:10 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:10 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:17 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:40:17 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:40:17 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:40:17 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:17 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:19 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:40:19 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:40:19 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:40:19 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:19 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:20 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:20 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:20 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:20 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:21 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:21 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:40:22 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:40:22 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:40:22 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:40:22 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:40:22 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:41:38 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:41:38 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:41:38 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:41:38 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:41:38 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:41:45 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:41:45 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:41:47 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:41:47 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:41:47 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:41:47 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:41:47 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:42:24 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:42:24 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:42:24 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:46:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:46:57 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:46:57 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:47:05 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:47:05 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:47:05 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:47:05 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:47:05 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:48:24 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:48:24 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:48:24 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:48:24 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:48:24 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:48:47 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:48:47 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:48:47 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:48:47 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:48:47 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:49:00 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:49:00 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:49:00 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:49:00 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:49:00 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:52:44 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:52:44 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:52:44 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:52:44 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:52:44 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:53:17 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:53:17 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:53:17 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:53:17 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:53:17 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:54:02 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:54:02 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:54:02 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:54:02 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:54:02 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:55:45 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:55:45 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:55:45 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:55:52 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:55:52 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:55:52 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:55:59 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:55:59 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:55:59 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:55:59 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:55:59 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 22:58:02 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:58:02 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:58:02 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:58:11 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 22:58:11 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Thu Mar 27 22:58:11 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Thu Mar 27 22:58:11 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 22:58:11 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:18:42 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Fri Mar 28 01:18:42 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Fri Mar 28 01:18:42 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Fri Mar 28 01:18:42 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:18:42 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:07 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:07 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:08 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:08 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:09 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:09 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:09 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:09 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:11 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:11 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:11 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Fri Mar 28 01:19:11 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Fri Mar 28 01:19:11 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Fri Mar 28 01:19:11 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:11 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:16 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Fri Mar 28 01:19:16 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Fri Mar 28 01:19:16 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:16 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Fri Mar 28 01:19:16 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:16 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Fri Mar 28 01:19:16 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:20 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Fri Mar 28 01:19:21 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Fri Mar 28 01:19:21 2014 - Update: UPDATE rel_group__user SET isPrimary = "1" WHERE `MemberId` = '1' AND `UnitId` = '1';
Fri Mar 28 01:19:21 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Fri Mar 28 01:19:21 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Fri Mar 28 01:19:21 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Fri Mar 28 01:19:23 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Fri Mar 28 01:19:23 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Fri Mar 28 01:19:23 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:23 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Fri Mar 28 01:19:23 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:23 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Fri Mar 28 01:19:23 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:19:27 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Fri Mar 28 01:19:27 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Fri Mar 28 01:19:27 2014 - Update: UPDATE rel_group__user SET isPrimary = "1" WHERE `MemberId` = '1' AND `UnitId` = '2';
Fri Mar 28 01:19:27 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Fri Mar 28 01:19:27 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Fri Mar 28 01:19:27 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Fri Mar 28 01:19:29 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Fri Mar 28 01:19:29 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Fri Mar 28 01:19:29 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:29 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Fri Mar 28 01:19:29 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:30 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Fri Mar 28 01:19:30 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Fri Mar 28 01:19:30 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:19:30 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Fri Mar 28 01:19:30 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:26:41 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Fri Mar 28 01:26:41 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Fri Mar 28 01:26:41 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:26:41 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Fri Mar 28 01:26:41 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:26:43 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Fri Mar 28 01:26:43 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Fri Mar 28 01:26:43 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Fri Mar 28 01:26:43 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Fri Mar 28 01:26:43 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Fri Mar 28 01:26:43 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Fri Mar 28 01:26:43 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 01:29:28 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 01:29:28 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 01:29:28 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 01:29:29 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 01:29:29 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:43:52 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:43:52 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Sat Mar 29 15:43:52 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:43:52 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Sat Mar 29 15:43:52 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:43:52 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Sat Mar 29 15:43:52 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:43:53 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:43:53 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Sat Mar 29 15:43:53 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:43:53 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Sat Mar 29 15:43:53 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:43:55 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:43:55 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Sat Mar 29 15:43:55 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:43:55 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Sat Mar 29 15:43:55 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:47:39 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:47:39 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:47:39 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:47:39 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:47:39 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:48:43 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:48:43 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:48:43 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:48:43 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:48:43 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:51:23 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:51:23 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:51:23 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:51:23 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:51:23 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:52:49 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:52:49 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:52:49 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:52:49 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:52:49 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:53:21 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:53:21 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:53:21 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:53:21 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:53:21 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:53:37 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:53:37 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:53:37 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:53:37 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:53:37 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:55:17 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:55:17 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Sat Mar 29 15:55:17 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:55:17 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
Sat Mar 29 15:55:17 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:55:19 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Sat Mar 29 15:55:19 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Sat Mar 29 15:55:19 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:55:19 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Sat Mar 29 15:55:19 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:55:19 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 8;
Sat Mar 29 15:55:19 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Sat Mar 29 15:55:21 2014 - Select: SELECT * FROM `members` WHERE id = 6;
Sat Mar 29 15:55:21 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Sat Mar 29 15:55:21 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:55:21 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 7;
Sat Mar 29 15:55:21 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Sat Mar 29 15:55:22 2014 - Select: SELECT * FROM `members` WHERE id = 2;
Sat Mar 29 15:55:22 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 3;
